,0
1681,VPS45
1682,VPS8
1683,VTI1A
1684,VTI1B
1685,VWA8
1686,WBP4
1687,WDFY3
1688,WDPCP
1689,WDR1
1690,WDR20
1691,WDR27
1692,WDR36
1693,WDR7
1694,WDR83OS
1695,WEE2-AS1
1696,WLS
1697,WTAP
1698,WWOX
1699,WWP1
1700,XKR6
1701,XYLT1
1702,YARS
1703,YBX1
1704,YEATS2
1705,YES1
1706,YME1L1
1707,YPEL5
1708,YTHDC1
1709,YWHAE
1710,YWHAG
1711,YWHAH
1712,YWHAQ
1713,YWHAZ
1714,ZBTB2
1715,ZBTB20
1716,ZBTB20-AS1
1717,ZBTB21
1718,ZBTB37
1719,ZC3H12C
1720,ZC3H13
1721,ZC3H8
1722,ZC3HAV1
1723,ZC4H2
1724,ZCCHC10
1725,ZCCHC7
1726,ZDHHC21
1727,ZEB2
1728,ZFAND1
1729,ZFAND3
1730,ZFAND4
1731,ZFP36L1
1732,ZFP82
1733,ZFX
1734,ZFYVE16
1735,ZMAT2
1736,ZMYM4
1737,ZNF107
1738,ZNF213
1739,ZNF234
1740,ZNF235
1741,ZNF280D
1742,ZNF281
1743,ZNF331
1744,ZNF337
1745,ZNF407
1746,ZNF438
1747,ZNF483
1748,ZNF514
1749,ZNF516
1750,ZNF519
1751,ZNF529
1752,ZNF532
1753,ZNF546
1754,ZNF552
1755,ZNF565
1756,ZNF586
1757,ZNF589
1758,ZNF593
1759,ZNF618
1760,ZNF678
1761,ZNF701
1762,ZNF708
1763,ZNF710
1764,ZNF718
1765,ZNF736
1766,ZNF765
1767,ZNF766
1768,ZNF782
1769,ZNF789
1770,ZNF790
1771,ZNF804A
1772,ZNF81
1773,ZNF814
1774,ZNFX1
1775,ZNRF2
1776,ZSCAN5A
1777,ZSWIM4
1778,ZYX
